##################################################################################################################################################################
# PDG MC Codes and Data
# mass and width(gamma) are in GeV.
##################################################################################################################################################################
# Name	    LatexTitle                Mass         Gamma/Width       Spin      IsoSpin   I3      Nq     Ns    Naq     Nas       Nc      Nac	         MC
##################################################################################################################################################################
# Quarks
##################################################################################################################################################################
f01500zero      f_{0}^{0}(1500)          1.5070000    0.1120000         0.0      0.       0.      1.      0.     1.      0.        0.       0.    9000223
a01450plus      a_{0}^{+}(1450)          1.4740000    0.2650000         0.0      1.       1.      1.      0.     1.      0.        0.       0.      10211
a01450minus     a_{0}^{-}(1450)          1.4740000    0.2650000         0.0      1.      -1.      1.      0.     1.      0.        0.       0.     -10211
a01450zero      a_{0}^{0}(1450)          1.4740000    0.2650000         0.0      1.       0.      1.      0.     1.      0.        0.       0.      10111
rho1450plus     #rho^{+}(1450)           1.4650000    0.3100000         1.0      1.       1.      1.      0.     1.      0.        0.       0.     100213
rho1450minus    #rho^{-}(1450)           1.4650000    0.3100000         1.0      1.      -1.      1.      0.     1.      0.        0.       0.    -100213
rho1450zero     #rho^{0}(1450)           1.4650000    0.3100000         1.0      1.       0.      1.      0.     1.      0.        0.       0.     100113
eta1440zero     #eta^{0}(1440)           1.4350000    0.0650000         0.0      0.       0.      1.      0.     1.      0.        0.       0.     100331
f11420zero      f_{1}^{0}(1420)          1.4263000    0.0555000         1.0      0.       0.      1.      0.     1.      0.        0.       0.      20333
omega1420zero   #omega^{0}(1420)         1.4190000    0.1740000         1.0      0.       0.      1.      0.     1.      0.        0.       0.     100223
f01370zero      f_{0}^{0}(1370)          1.3500000    0.3500000         0.0      0.       0.      1.      0.     1.      0.        0.       0.      10221
a21320plus      a_{2}^{+}(1370)          1.3180000    0.1070000         2.0      1.       1.      1.      0.     1.      0.        0.       0.        215
a21320minus     a_{2}^{-}(1370)          1.3180000    0.1070000         2.0      1.      -1.      1.      0.     1.      0.        0.       0.       -215
a21320zero      a_{2}^{0}(1370)          1.3180000    0.1070000         2.0      1.       0.      1.      0.     1.      0.        0.       0.        115
pion1300plus    #pi^{+}(1300)            1.3000000    0.4000000         0.0      1.       1.      1.      0.     1.      0.        0.       0.     100211
pion1300minus   #pi^{-}(1300)            1.3000000    0.4000000         0.0      1.      -1.      1.      0.     1.      0.        0.       0.    -100211
pion1300zero    #pi^{0}(1300)            1.3000000    0.4000000         0.0      1.       0.      1.      0.     1.      0.        0.       0.     100111
eta1295zero     #eta^{0}(1295)           1.2970000    0.0530000         0.0      0.       0.      1.      0.     1.      0.        0.       0.     100221
f11285zero      f_{1}^{0}(1285)          1.2819000    0.0240000         1.0      0.       0.      1.      0.     1.      0.        0.       0.      20223
f21270zero      f_{1}^{0}(1270)          1.2754000    0.1850000         2.0      0.       0.      1.      0.     1.      0.        0.       0.        225
a11260plus      a{1}^{+}(1260)           1.2300000    0.4250000         1.0      1.       1.      1.      0.     1.      0.        0.       0.      20213
a11260minus     a{1}^{-}(1260)           1.2300000    0.4250000         1.0      1.      -1.      1.      0.     1.      0.        0.       0.     -20213
a11260zero      a{1}^{0}(1260)           1.2300000    0.4250000         1.0      1.       0.      1.      0.     1.      0.        0.       0.      20113
b11235plus      b{1}^{+}(1235)           1.2295000    0.1420000         1.0      1.       1.      1.      0.     1.      0.        0.       0.      10113
b11235zero      b{1}^{0}(1235)           1.2295000    0.1420000         1.0      1.       0.      1.      0.     1.      0.        0.       0.      10213
b11235minus     b{1}^{-}(1235)           1.2295000    0.1420000         1.0      1.      -1.      1.      0.     1.      0.        0.       0.     -10113
h11170zero      h_{1}^{0}(1170)          1.1700000    0.3600000         1.0      0.       0.      1.      0.     1.      0.        0.       0.      10223
phi1020zero     #phi^{0}(1020)           1.0194170    0.0044580         1.0      0.       0.      0.      1.     0.      1.        0.       0.        333
a00980plus      a_{0}^{+}(980)           0.9848000    0.0750000         0.0      1.       1.      1.      0.     1.      0.        0.       0.    9000211
a00980minus     a_{0}^{-}(980)           0.9848000    0.0750000         0.0      1.      -1.      1.      0.     1.      0.        0.       0.   -9000211
a00980zero      a_{0}^{0}(980)           0.9848000    0.0750000         0.0      1.       0.      1.      0.     1.      0.        0.       0.    9000111
f00980zero      f_{0}^{0}(980)           0.9800000    0.1000000         0.0      0.       0.      1.      0.     1.      0.        0.       0.    9010221
eta0prime       #eta^{0*}                0.9577800    0.0002020         0.0      0.       0.      1.      0.     1.      0.        0.       0.        331
omega0782zero   #omega^{0}               0.7825700    0.0084400         1.0      0.       0.      1.      0.     1.      0.        0.       0.        223
rho770plus      #rho^{+}                 0.7693000    0.1502000         1.0      1.       1.      1.      0.     1.      0.        0.       0.        213
rho770minus     #rho^{-}                 0.7693000    0.1502000         1.0      1.      -1.      1.      0.     1.      0.        0.       0.       -213
rho770zero      #rho^{0}                 0.7693000    0.1502000         1.0      1.       0.      1.      0.     1.      0.        0.       0.        113
f00600zero      f^{0}(600)               0.8000000    0.8000000         0.0      0.       0.      1.      0.     1.      0.        0.       0.    9000221
eta547zero      #eta^{0}                 0.5473000    1.2900e-6         0.0      0.       0.      0.19    0.81   0.19    0.81      0.       0.        221
pion0139plus    #pi^{+}                  0.1395699    0.0000000         0.0      1.       1.      1.      0.     1.      0.        0.       0.        211
pion0139minus   #pi^{-}                  0.1395699    0.0000000         0.0      1.      -1.      1.      0.     1.      0.        0.       0.       -211
pion0135zero    #pi^{0}                  0.1349764    0.0000000         0.0      1.       0.      1.      0.     1.      0.        0.       0.        111

f42340zero      f_{4}^{0}(2340)          2.3390000    0.3190000         4.0      0.       0.      1.      0.     1.      0.        0.       0.      40225
f22300zero      f_{2}^{0}(2300)          2.2970000    0.1490000         2.0      0.       0.      1.      0.     1.      0.        0.       0.      30225
f42050zero      f_{4}^{0}(2050)          2.0340000    0.2220000         4.0      0.       0.      1.      0.     1.      0.        0.       0.        229
a42040plus      a_{4}^{+}(2040)          2.0140000    0.3610000         4.0      1.       1.      1.      0.     1.      0.        0.       0.        219
a42040minus     a_{4}^{-}(2040)          2.0140000    0.3610000         4.0      1.      -1.      1.      0.     1.      0.        0.       0.       -219
a42040zero      a_{4}^{0}(2040)          2.0140000    0.3610000         4.0      1.       0.      1.      0.     1.      0.        0.       0.        119
f22010zero      f_{2}^{0}(2010)          2.0110000    0.2020000         2.0      0.       0.      1.      0.     1.      0.        0.       0.      20225
phi1850zero     #phi^{0}(1850)           1.8540000    0.0870000         3.0      0.       0.      0.      1.     0.      1.        0.       0.        337

pion1670plus    #pi^{+}(1670)            1.6700000    0.2590000         2.0      1.       1.      1.      0.     1.      0.        0.       0.      10215
pion1670minus   #pi^{-}(1670)            1.6700000    0.2590000         2.0      1.      -1.      1.      0.     1.      0.        0.       0.     -10215
pion1670zero    #pi^{0}(1670)            1.6700000    0.2590000         2.0      1.       0.      1.      0.     1.      0.        0.       0.      10115
pion1800plus    #pi^{+}(1800)            1.8010000    0.2100000         0.0      1.       1.      1.      0.     1.      0.        0.       0.     200111
pion1800minus   #pi^{-}(1800)            1.8010000    0.2100000         0.0      1.      -1.      1.      0.     1.      0.        0.       0.    -200111
pion1800zero    #pi^{0}(1800)            1.8010000    0.2100000         0.0      1.       0.      1.      0.     1.      0.        0.       0.     200211

f21525zero      f_{2}^{0}(1525)          1.5250000    0.0760000         2.0      0.       0.      1.      0.     1.      0.        0.       0.        335

##################################################################################################################################################################
# Name	    LatexTitle                Mass         Gamma/Width       Spin     IsoSpin  I3      Nq     Ns    Naq     Nas       Nc      Nac	         MC
##################################################################################################################################################################
# strange mesons
##################################################################################################################################################################
