##############################################################################################################################################################################################################
# PDG MC Codes and Data
# mass and width(gamma) are in GeV.
# not all the mass/width are correct, uncertainties dMass and dWidth are missing.
##########################################################################################################################################################################################################################################################
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
##############################################################################################################################################################################################################
# Quarks
##############################################################################################################################################################################################################
down                          d^{-1/3}                                    1    -0.333       0.004700       0.000000       0.000000       0.000000       0.5       0.0       0.0         1         0         0
up                            u^{2/3}                                     2     0.666       0.002160       0.000000       0.000000       0.000000       0.5       0.0       0.0        10         0         0
strange                       s^{-1/3}                                    3    -0.333       0.093500       0.000000       0.000000       0.000000       0.5       0.0       0.0       100         0         0
charm                         c^{2/3}                                     4     0.666       1.273000       0.000000       0.000000       0.000000       0.5       0.0       0.0      1000         0         0
bottom                        b^{-1/3}                                    5    -0.333       4.183000       0.000000       0.000000       0.000000       0.5       0.0       0.0     10000         0         0
top                           t^{2/3}                                     6     0.666     172.560000       0.000000       1.420000       0.000000       0.5       0.0       0.0    100000         0         0
down_bar                      #bar{d}^{1/3}                              -1     0.333       0.004700       0.000000       0.000000       0.000000       0.5       0.0       0.0         0         1         0
up_bar                        #bar{d}^{-2/3}                             -2    -0.666       0.002160       0.000000       0.000000       0.000000       0.5       0.0       0.0         0        10         0
strange_bar                   #bar{d}^{1/3}                              -3     0.333       0.093500       0.000000       0.000000       0.000000       0.5       0.0       0.0         0       100         0
charm_bar                     #bar{d}^{-2/3}                             -4    -0.666       1.273000       0.000000       0.000000       0.000000       0.5       0.0       0.0         0      1000         0
bottom_bar                    #bar{d}^{1/3}                              -5     0.333       4.183000       0.000000       0.000000       0.000000       0.5       0.0       0.0         0     10000         0
top_bar                       #bar{d}^{-2/3}                             -6    -0.666     172.560000       0.000000       0.000000       0.000000       0.5       0.0       0.0         0    100000         0
##############################################################################################################################################################################################################
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
##############################################################################################################################################################################################################
# leptons
##############################################################################################################################################################################################################
